title
The Dark Knight
Evan Almighty
Batman Begins
Oblivion
Transcendence
Ben-Hur
Now You See Me 2
Bruce Almighty
Deep Impact
Wanted
Now You See Me
Olympus Has Fallen
Hard Rain
The Sum of All Fears
Ted 2
Dreamcatcher
RED
The Lego Movie
Invictus
Chain Reaction
Robin Hood: Prince of Thieves
Outbreak
The Big Bounce
The Bucket List
Unleashed
High Crimes
Lucy
Amistad
Dolphin Tale
Dolphin Tale 2
Se7en
Million Dollar Baby
An Unfinished Life
Glory
Along Came a Spider
Last Vegas
Kiss the Girls
Lucky Number Slevin
The Shawshank Redemption
Nurse Betty
Unforgiven
Driving Miss Daisy
March of the Penguins
